Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),file_path
lenovo,v310-15isk (i5-7200u/4gb/1tb/fhd/w10),notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,1tb hdd,intel hd graphics 620,windows,10,1.9kg,"549,00",./data/lenovo.jpg
asus,fx753ve-gc093 (i7-7700hq/12gb/1tb/geforce,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,12gb,1tb hdd,nvidia geforce gtx 1050 ti,linux,,3kg,"949,00",./data/default.jpg
microsoft,surface laptop,ultrabook,"13.5""",touchscreen 2256x1504,intel core i5 7200u 2.5ghz,4gb,128gb ssd,intel hd graphics 620,windows,10 s,1.252kg,"1089,00",./data/default.jpg
dell,inspiron 5370,ultrabook,"13.3""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,amd radeon 530,windows,10,1.4kg,"955,00",./data/dell.jpg
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,amd radeon 530,windows,10,2.2kg,"870,00",./data/dell.jpg
msi,gl72m 7rdx,gaming,"17.3""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.7kg,"1095,00",./data/msi.jpg
acer,aspire e5-475,notebook,"14.0""",1366x768,intel core i3 6006u 2ghz,8gb,1tb hdd,intel hd graphics 520,windows,10,2.1kg,"389,00",./data/default.jpg
asus,fx503vd-e4022t (i7-7700hq/8gb/1tb/geforce,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows,10,2.2kg,"949,00",./data/default.jpg
lenovo,ideapad 320-15ikbn,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,2tb hdd,intel hd graphics 620,no os,,2.2kg,"519,00",./data/lenovo.jpg
dell,inspiron 5570,notebook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,128gb ssd +  1tb hdd,intel uhd graphics 620,windows,10,2.02kg,"855,00",./data/dell.jpg
acer,aspire a515-51g-32mx,notebook,"15.6""",full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,1tb hdd,nvidia geforce mx130,windows,10,2.2kg,"530,00",./data/default.jpg
hp,probook 470,notebook,"17.3""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 930mx,windows,10,2.5kg,"977,00",./data/hp.jpg
dell,latitude 5590,ultrabook,"15.6""",ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.88kg,"1096,16",./data/dell.jpg
apple,"macbook 12""",ultrabook,"12.0""",ips panel retina display 2304x1440,intel core i5 1.3ghz,8gb,512gb ssd,intel hd graphics 615,macos,,0.92kg,"1510,00",./data/apple.jpg
hp,probook 440,notebook,"14.0""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.63kg,"860,00",./data/hp.jpg
lenovo,ideapad 320-15ast,notebook,"15.6""",full hd 1920x1080,amd a6-series 9220 2.5ghz,4gb,128gb ssd,amd r4 graphics,windows,10,2.2kg,"399,00",./data/lenovo.jpg
acer,aspire 3,notebook,"15.6""",1366x768,amd a9-series 9420 3ghz,4gb,1tb hdd,amd radeon r5,windows,10,2.1kg,"395,00",./data/default.jpg
dell,inspiron 7577,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.65kg,"1349,00",./data/dell.jpg
hp,pavilion 15-ck000nv,ultrabook,"15.6""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,nvidia geforce gtx 940mx,windows,10,1.83kg,"699,00",./data/hp.jpg
hp,250 g6,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.96kg,"598,99",./data/hp.jpg
asus,fx503vm-e4007t (i7-7700hq/16gb/1tb,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,2.2kg,"1449,00",./data/default.jpg
dell,xps 13,ultrabook,"13.3""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.21kg,"1649,00",./data/dell.jpg
asus,fx550ik-dm018t (fx-9830p/8gb/1tb/radeon,gaming,"15.6""",full hd 1920x1080,amd fx 9830p 3ghz,8gb,1tb hdd,amd radeon rx 560,windows,10,2.45kg,"699,00",./data/default.jpg
acer,aspire 5,notebook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,1tb hdd,nvidia geforce mx150,windows,10,2.2kg,"689,00",./data/default.jpg
hp,probook 430,notebook,"13.3""",full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,512gb ssd,intel uhd graphics 620,windows,10,1.49kg,"1197,00",./data/hp.jpg
dell,inspiron 7577,gaming,"15.6""",full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,256gb ssd,nvidia geforce gtx 1060,windows,10,2.65kg,"1195,00",./data/dell.jpg
asus,zenbook ux430ua,ultrabook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.25kg,"1049,00",./data/default.jpg
acer,spin 5,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.5kg,"847,00",./data/default.jpg
dell,inspiron 3567,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,1tb hdd,amd radeon r5 m430,linux,,2.2kg,"599,90",./data/dell.jpg
dell,inspiron 3567,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,256gb ssd,amd radeon r5 m430,linux,,2.2kg,"485,00",./data/dell.jpg
asus,x541uv-dm1439t (i3-7100u/6gb/256gb/geforce,notebook,"15.6""",full hd 1920x1080,intel core i3 7100u 2.4ghz,6gb,256gb ssd,nvidia geforce 920m,windows,10,2kg,"577,00",./data/default.jpg
hp,omen 15-ce007nv,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,12gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.62kg,"1249,00",./data/hp.jpg
hp,15-bs017nv (i7-7500u/8gb/256gb/radeon,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,amd radeon 530,windows,10,1.91kg,"719,00",./data/hp.jpg
hp,15-bw000nv (e2-9000e/4gb/500gb/radeon,notebook,"15.6""",full hd 1920x1080,amd e-series e2-9000e 1.5ghz,4gb,500gb hdd,amd radeon r2,windows,10,2.1kg,"349,00",./data/hp.jpg
dell,inspiron 3576,notebook,"15.6""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,1tb hdd,amd radeon 520,linux,,2.2kg,"647,00",./data/dell.jpg
hp,envy 13-ad009n,ultrabook,"13.3""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce mx150,windows,10,1.38kg,"1119,00",./data/hp.jpg
microsoft,surface laptop,ultrabook,"13.5""",touchscreen 2256x1504,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10 s,1.252kg,"1340,00",./data/default.jpg
hp,pavilion 14-bk001nv,notebook,"14.0""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,6gb,256gb ssd,nvidia geforce 940mx,windows,10,1.58kg,"659,00",./data/hp.jpg
lenovo,ideapad 310-15isk,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 520,windows,10,1.85kg,"414,90",./data/lenovo.jpg
asus,ux430uq-gv209r (i7-7500u/8gb/256gb/geforce,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows,10,1.3kg,"1193,00",./data/default.jpg
msi,gp62m 7rex,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,10,2.2kg,"1299,00",./data/msi.jpg
lenovo,thinkpad t470,notebook,"14.0""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.58kg,"1480,00",./data/lenovo.jpg
asus,vivobook s15,ultrabook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce mx150,windows,10,1.5kg,"1262,00",./data/default.jpg
dell,xps 13,ultrabook,"13.3""",quad hd+ / touchscreen 3200x1800,intel core i7 7560u 2.4ghz,8gb,256gb ssd,intel iris plus graphics 640,windows,10,1.23kg,"1379,00",./data/dell.jpg
lenovo,thinkpad yoga,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.37kg,"1399,00",./data/lenovo.jpg
hp,probook 440,notebook,"14.0""",ips panel 1366x768,intel core i5 8250u 1.6ghz,4gb,500gb hdd,intel uhd graphics 620,windows,10,1.63kg,"722,00",./data/hp.jpg
dell,xps 13,ultrabook,"13.3""",ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.21kg,"1629,00",./data/dell.jpg
hp,spectre x360,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.26kg,"1398,99",./data/hp.jpg
hp,probook 440,notebook,"14.0""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,512gb ssd,intel uhd graphics 620,windows,10,1.63kg,"1084,00",./data/hp.jpg
dell,inspiron 7570,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd +  1tb hdd,nvidia geforce 940mx,windows,10,2.16kg,"1130,33",./data/dell.jpg
asus,x705uv-bx074t (i3-6006u/4gb/1tb/geforce,notebook,"17.3""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,nvidia geforce 920mx,windows,10,2kg,"564,00",./data/default.jpg
asus,vivobook s15,notebook,"15.6""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,nvidia geforce 940mx,windows,10,1.7kg,"1118,00",./data/default.jpg
acer,spin 3,notebook,"15.6""",ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,6gb,1tb hdd,intel hd graphics 620,windows,10,2.1kg,"479,00",./data/default.jpg
msi,gs63vr 7rg,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  2tb hdd,nvidia geforce gtx 1070,windows,10,1.8kg,"2241,50",./data/msi.jpg
lenovo,ideapad 320-15ikbn,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 940mx,no os,,2.2kg,"629,00",./data/lenovo.jpg
hp,probook 470,notebook,"17.3""",full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,512gb ssd,nvidia geforce 930mx ,windows,10,2.5kg,"1271,00",./data/hp.jpg
acer,aspire 3,notebook,"15.6""",1366x768,amd a9-series 9420 3ghz,4gb,256gb ssd,amd radeon r5,windows,10,2.1kg,"451,00",./data/default.jpg
hp,250 g6,notebook,"15.6""",1366x768,intel celeron dual core n3060 1.6ghz,4gb,500gb hdd,intel hd graphics 400,no os,,1.86kg,"259,00",./data/hp.jpg
hp,probook 440,notebook,"14.0""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,1tb hdd,intel uhd graphics 620,windows,10,1.63kg,"812,00",./data/hp.jpg
asus,e402wa-ga007t (e2-6110/4gb/64gb/w10,notebook,"14.0""",1366x768,amd e-series 6110 1.5ghz,4gb,64gb ssd,amd radeon r2,windows,10 s,1.65kg,"277,99",./data/default.jpg
dell,inspiron 5770,notebook,"17.3""",full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,256gb ssd +  2tb hdd,amd radeon 530,windows,10,2.8kg,"1396,00",./data/dell.jpg
hp,probook 470,notebook,"17.3""",full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,2.5kg,"928,00",./data/hp.jpg
dell,inspiron 5567,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,8gb,1tb hdd,amd radeon r7 m445,windows,10,2.36kg,"638,99",./data/dell.jpg
dell,inspiron 3567,notebook,"15.6""",full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,amd radeon r5 m430,windows,10,2.2kg,"449,00",./data/dell.jpg
acer,swift 3,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.6kg,"884,00",./data/default.jpg
acer,aspire a515-51g-37js,notebook,"15.6""",full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,256gb ssd,nvidia geforce mx130,windows,10,2.2kg,"572,00",./data/default.jpg
hp,15-bs078nr (i7-7500u/8gb/1tb/w10),notebook,"15.6""",1366x768,intel core i7 7500u 2.7ghz,8gb,1tb hdd,intel hd graphics 620,windows,10,2.05kg,"598,00",./data/hp.jpg
hp,probook 440,notebook,"14.0""",full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.63kg,"988,00",./data/hp.jpg
lenovo,v110-15iap (n3350/4gb/1tb/no,notebook,"15.6""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,no os,,1.9kg,"252,36",./data/lenovo.jpg
